,name,acp_type,election_year,dem_votes,oth_votes,rep_votes
99,JEFFERSON,Rural Middle America,2016,3650,636,15192
100,JUNIATA,Rural Middle America,2016,1821,360,8273
101,LACKAWANNA,Middle Suburbs,2016,51983,3089,48384
102,LANCASTER,Middle Suburbs,2016,91093,12105,137914
103,LAWRENCE,Middle Suburbs,2016,14009,1316,25428
104,LEBANON,Middle Suburbs,2016,18953,2367,40525
105,LEHIGH,Middle Suburbs,2016,81324,5979,73690
106,LUZERNE,Middle Suburbs,2016,52451,3844,78688
107,LYCOMING,Rural Middle America,2016,13020,1918,35627
108,MCKEAN,Rural Middle America,2016,0,0,0
109,MERCER,Rural Middle America,2016,18733,2032,31544
110,MIFFLIN,Rural Middle America,2016,3877,630,14094
111,MONROE,Exurbs,2016,33918,2448,33386
112,MONTGOMERY,Urban Suburbs,2016,256082,15874,162731
113,MONTOUR,Rural Middle America,2016,2857,411,5288
114,NORTHAMPTON,Middle Suburbs,2016,66272,5511,71736
115,NORTHUMBERLAND,Rural Middle America,2016,9788,1407,25427
116,PERRY,Rural Middle America,2016,4632,910,15616
117,PHILADELPHIA,Big Cities,2016,584025,14858,108748
118,PIKE,Exurbs,2016,9256,789,16056
119,POTTER,Graying America,2016,1302,231,6251
120,SCHUYLKILL,Rural Middle America,2016,16770,2098,44001
121,SNYDER,Rural Middle America,2016,4002,636,11725
122,SOMERSET,Rural Middle America,2016,7376,1018,27379
123,SULLIVAN,Graying America,2016,750,95,2291
124,SUSQUEHANNA,Rural Middle America,2016,5123,849,12891
125,TIOGA,Rural Middle America,2016,3901,810,13614
126,UNION,Rural Middle America,2016,6180,666,10622
127,VENANGO,Rural Middle America,2016,6309,1018,16021
128,WARREN,Working Class Country,2016,5145,812,12477
129,WASHINGTON,Middle Suburbs,2016,36322,3742,61386
130,WAYNE,Working Class Country,2016,7008,766,16244
131,WESTMORELAND,Middle Suburbs,2016,59669,5860,116522
132,WYOMING,Rural Middle America,2016,3811,496,8837
133,YORK,Middle Suburbs,2016,68524,8934,128528
134,ADAMS,Rural Middle America,2020,18207,810,37523
135,ALLEGHENY,Urban Suburbs,2020,429065,8344,282324
136,ARMSTRONG,Rural Middle America,2020,8457,424,27489
137,BEAVER,Middle Suburbs,2020,38122,1241,54759
138,BEDFORD,Rural Middle America,2020,4367,182,23025
139,BERKS,Middle Suburbs,2020,92895,2909,109736
140,BLAIR,Middle Suburbs,2020,17636,653,45306
141,BRADFORD,Rural Middle America,2020,8046,513,21600
142,BUCKS,Exurbs,2020,204712,4155,187367
143,BUTLER,Middle Suburbs,2020,37508,1438,74359
144,CAMBRIA,Rural Middle America,2020,21730,759,48085
145,CAMERON,Graying America,2020,634,29,1771
146,CARBON,Working Class Country,2020,11212,433,21984
147,CENTRE,College Towns,2020,40055,1066,36372
148,CHESTER,Exurbs,2020,182372,3565,128565
149,CLARION,Rural Middle America,2020,4678,237,14578
150,CLEARFIELD,Rural Middle America,2020,9673,546,29203
151,CLINTON,Rural Middle America,2020,5502,221,11902
152,COLUMBIA,Rural Middle America,2020,10532,541,20098
153,CRAWFORD,Rural Middle America,2020,12924,521,28559
154,CUMBERLAND,College Towns,2020,62245,2138,77212
155,DAUPHIN,College Towns,2020,78983,1977,66408
156,DELAWARE,Urban Suburbs,2020,206423,2976,118532
157,ELK,Rural Middle America,2020,4522,244,12140
158,ERIE,Rural Middle America,2020,68286,1928,66869
159,FAYETTE,Rural Middle America,2020,20444,468,41227
160,FOREST,Graying America,2020,728,36,1882
161,FRANKLIN,Rural Middle America,2020,22422,1116,57245
162,FULTON,Rural Middle America,2020,1085,68,6824
163,GREENE,Working Class Country,2020,4911,179,12579
164,HUNTINGDON,Graying America,2020,5445,286,17061
165,INDIANA,Rural Middle America,2020,12634,475,28089
166,JEFFERSON,Rural Middle America,2020,4527,337,17960
167,JUNIATA,Rural Middle America,2020,2253,141,9649
168,LACKAWANNA,Middle Suburbs,2020,61991,1085,52334
169,LANCASTER,Middle Suburbs,2020,115847,4183,160209
170,LAWRENCE,Middle Suburbs,2020,15978,501,29597
171,LEBANON,Middle Suburbs,2020,23932,989,46731
172,LEHIGH,Middle Suburbs,2020,98288,2166,84259
173,LUZERNE,Middle Suburbs,2020,64873,1519,86929
174,LYCOMING,Rural Middle America,2020,16971,821,41462
175,MCKEAN,Rural Middle America,2020,0,0,0
176,MERCER,Rural Middle America,2020,21067,744,36143
177,MIFFLIN,Rural Middle America,2020,4603,229,16670
178,MONROE,Exurbs,2020,44060,1043,38726
179,MONTGOMERY,Urban Suburbs,2020,319511,5186,185460
180,MONTOUR,Rural Middle America,2020,3771,156,5844
181,NORTHAMPTON,Middle Suburbs,2020,85087,2001,83854
182,NORTHUMBERLAND,Rural Middle America,2020,12677,654,28952
183,PERRY,Rural Middle America,2020,5950,409,18293
184,PHILADELPHIA,Big Cities,2020,603790,4847,132740
185,PIKE,Exurbs,2020,13019,322,19213
186,POTTER,Graying America,2020,1726,99,7239
187,SCHUYLKILL,Rural Middle America,2020,20727,1005,48871
188,SNYDER,Rural Middle America,2020,4910,247,13983
189,SOMERSET,Rural Middle America,2020,8654,423,31466
190,SULLIVAN,Graying America,2020,921,55,2619
191,SUSQUEHANNA,Rural Middle America,2020,6236,309,15207
192,TIOGA,Rural Middle America,2020,4955,378,15742
193,UNION,Rural Middle America,2020,7475,284,12356
194,VENANGO,Rural Middle America,2020,7585,374,18569
195,WARREN,Working Class Country,2020,6066,347,14237
196,WASHINGTON,Middle Suburbs,2020,45088,1310,72080
197,WAYNE,Working Class Country,2020,9191,261,18637
198,WESTMORELAND,Middle Suburbs,2020,72129,2350,130218
199,WYOMING,Rural Middle America,2020,4704,218,9936
200,YORK,Middle Suburbs,2020,88114,3624,146733
201,ADAMS,Rural Middle America,2008,17633,509,26349
202,ALLEGHENY,Urban Suburbs,2008,373153,5936,272347
203,ARMSTRONG,Rural Middle America,2008,11138,401,18542
204,BEAVER,Middle Suburbs,2008,40499,1094,42895
205,BEDFORD,Rural Middle America,2008,6059,260,16124
206,BERKS,Middle Suburbs,2008,97047,2440,80513
207,BLAIR,Middle Suburbs,2008,19813,581,32708
208,BRADFORD,Rural Middle America,2008,10306,424,15057
209,BUCKS,Exurbs,2008,179031,3645,150248
210,BUTLER,Middle Suburbs,2008,32260,1091,57074
211,CAMBRIA,Rural Middle America,2008,32451,1224,31995
212,CAMERON,Graying America,2008,879,43,1323
213,CARBON,Working Class Country,2008,13464,502,12957
214,CENTRE,College Towns,2008,41950,821,32992
215,CHESTER,Exurbs,2008,137833,2100,114421
216,CLARION,Rural Middle America,2008,6756,273,10737
217,CLEARFIELD,Rural Middle America,2008,14555,596,18662
218,CLINTON,Rural Middle America,2008,7097,190,7504
219,COLUMBIA,Rural Middle America,2008,13230,356,14477
220,CRAWFORD,Rural Middle America,2008,16780,604,20750
221,CUMBERLAND,College Towns,2008,48306,1259,63739
222,DAUPHIN,College Towns,2008,69975,1316,58238
223,DELAWARE,Urban Suburbs,2008,178870,2861,115273
224,ELK,Rural Middle America,2008,7290,305,6676
225,ERIE,Rural Middle America,2008,75775,1565,50351
226,FAYETTE,Rural Middle America,2008,25866,613,26081
227,FOREST,Graying America,2008,1038,40,1366
228,FRANKLIN,Rural Middle America,2008,21169,566,41906
229,FULTON,Rural Middle America,2008,1576,88,4642
230,GREENE,Working Class Country,2008,7829,258,7889
231,HUNTINGDON,Graying America,2008,6621,266,11745
232,INDIANA,Rural Middle America,2008,17065,510,19727
233,JEFFERSON,Rural Middle America,2008,6447,298,12057
234,JUNIATA,Rural Middle America,2008,3068,159,6484
235,LACKAWANNA,Middle Suburbs,2008,67520,868,39488
236,LANCASTER,Middle Suburbs,2008,99586,1983,126568
237,LAWRENCE,Middle Suburbs,2008,19711,541,21851
238,LEBANON,Middle Suburbs,2008,23310,673,34314
239,LEHIGH,Middle Suburbs,2008,87089,2002,63382
240,LUZERNE,Middle Suburbs,2008,72492,1556,61127
241,LYCOMING,Rural Middle America,2008,18381,576,30280
242,MCKEAN,Rural Middle America,2008,0,0,0
243,MERCER,Rural Middle America,2008,26411,845,26565
244,MIFFLIN,Rural Middle America,2008,5375,198,10929
245,MONROE,Exurbs,2008,39453,697,28293
246,MONTGOMERY,Urban Suburbs,2008,253393,3474,165552
247,MONTOUR,Rural Middle America,2008,3364,85,4574
248,NORTHAMPTON,Middle Suburbs,2008,75255,1781,58551
249,NORTHUMBERLAND,Rural Middle America,2008,14329,592,19018
250,PERRY,Rural Middle America,2008,6396,291,13058
251,PHILADELPHIA,Big Cities,2008,595980,4128,117221
252,PIKE,Exurbs,2008,11493,273,12518
253,POTTER,Graying America,2008,2300,98,5109
254,SCHUYLKILL,Rural Middle America,2008,28300,990,33767
255,SNYDER,Rural Middle America,2008,5382,197,9900
256,SOMERSET,Rural Middle America,2008,12878,604,21686
257,SULLIVAN,Graying America,2008,1233,46,1841
258,SUSQUEHANNA,Rural Middle America,2008,8381,272,10633
259,TIOGA,Rural Middle America,2008,6390,268,11326
260,UNION,Rural Middle America,2008,7333,208,9859
261,VENANGO,Rural Middle America,2008,9238,351,13718
